1,1,-1,-1
1,2,0.129,0.065
1,3,0.516,0.258
1,4,0.516,0.258
1,5,-0.658,-0.329
1,6,0.258,0.129
1,7,0,0
1,8,-0.577,-0.288
1,9,-0.365,-0.182
1,10,0.695,0.347
7,1,-1,-1
7,2,-1.032,-0.516
7,3,1.389,0.695
7,4,0.645,0.323
7,5,0.129,0.065
7,6,0.645,0.323
7,7,-1.04,-0.52
7,8,0.547,0.274
7,9,0.516,0.258
7,10,0,0
10,1,-1,-1
10,2,0,0
10,3,0.547,0.274
10,4,0.129,0.065
10,5,0.408,0.204
10,6,0.408,0.204
10,7,0,0
10,8,0.785,0.392
10,9,0,0
10,10,0,0
12,1,-1,-1
12,2,0,0
12,3,0.129,0.065
12,4,0.645,0.323
12,5,0,0
12,6,0,0
12,7,0,0
12,8,0,0
12,9,0.258,0.129
12,10,0.516,0.258
14,1,-1,-1
14,2,-0.826,-0.413
14,3,-0.129,-0.065
14,4,-0.387,-0.194
14,5,0,0
14,6,-0.129,-0.065
14,7,0,0
14,8,0,0
14,9,0,0
14,10,-0.516,-0.258
16,1,-1,-1
16,2,0,0
16,3,0.516,0.258
16,4,0.982,0.491
16,5,0.129,0.065
16,6,0.695,0.347
16,7,0,0
16,8,0,0
16,9,0,0
16,10,-0.658,-0.329
,,,
19,1,-1,-1
19,2,0.387,0.194
19,3,0.129,0.065
19,4,0,0
19,5,0,0
19,6,0,0
19,7,0,0
19,8,0,0
19,9,0.516,0.258
19,10,0,0
22,1,-1,-1
22,2,0,0
22,3,0,0
22,4,0,0
22,5,0,0
22,6,0,0
22,7,0,0
22,8,0,0
22,9,1.296,0.648
22,10,0,0
24,1,-1,-1
24,2,0,0
24,3,0.387,0.194
24,4,0,0
24,5,0.516,0.258
24,6,0.129,0.065
24,7,0.258,0.129
24,8,0,0
24,9,0,0
24,10,0,0
26,1,-1,-1
26,2,0.387,0.194
26,3,0.645,0.323
26,4,0.129,0.065
26,5,0,0
26,6,0,0
26,7,0,0
26,8,0,0
26,9,0,0
26,10,0,0
28,1,-1,-1
28,2,0.387,0.194
28,3,0.258,0.129
28,4,0.258,0.129
28,5,0,0
28,6,0,0
28,7,0,0
28,8,0,0
28,9,0.774,0.387
28,10,0,0
30,1,-1,-1
30,2,0.387,0.194
30,3,0.645,0.323
30,4,0,0
30,5,0,0
30,6,0,0
30,7,0.408,0.204
30,8,0,0
30,9,0,0
30,10,0.129,0.065
,,,
33,1,-1,-1
33,2,0.129,0.065
33,3,0,0
33,4,0,0
33,5,0,0
33,6,0,0
33,7,0,0
33,8,0,0
33,9,0,0
33,10,0,0
35,1,-1,-1
35,2,-0.645,-0.323
35,3,1.189,0.595
