Image J,Point de référence : en bas à gauche de la cellule considérée,,,,,,,,,,,,,,,,
Name video,"output_1HYVrU
",output_3JCehT,output_5q84Sq,output_BFQlW5,output_GaRQek,output_gSz3MW,output_nkzWwN,output_Sjs50e,,Track number,,,X,Y,Distance ,Velocity,Pixel Value
,0.129,0,0,0.129,0,-1.677,,0.465,,46,16,6,776,400,0.695,0.347,104
,0.695,0,0,0,0,-1.064,,0,,47,16,7,776,400,0,0,69
,0,0.408,0,0,0,0,,0.129,,48,16,8,776,400,0,0,93
,0,0,0,0,0.774,0,,0,,49,16,9,776,400,0,0,119
,0,0,0,0.695,0,0,,0.387,,50,16,10,777,405,-0.658,-0.329,68
,-0.658,0.129,0,0,-1.459,0,,0,,,,,,,,,
,,,"Sur cette vidéo, toutes les autres cellules bougent à part la notre :(",,,,,,,1,19,1,514,657,-1,-1,123
,,,,Dans celle là toutes les cellules bougent sauf celle sur laquelle on a la mise au point ..,,,,,,2,19,2,517,657,0.387,0.194,96
,,,,,J'ai pris la cellule sur le bord droit au milieu par celle d'en bas,,,,,3,19,3,518,657,0.129,0.065,74
,,,,,,"Personne ne bouge sur celle là, mais la mise au point semble bouger",,,,4,19,4,518,657,0,0,97
,,,,,,,La cellule que j'ai prise il n'y a que 5 chloroplasts visibles il n'y a que 9 images dans les gif,,,5,19,5,518,657,0,0,103
,,,,,,,,,,6,19,6,518,657,0,0,85
,,,,,,,,,,7,19,7,518,657,0,0,103
,,,,,,,,,,8,19,8,518,657,0,0,96
,,,,,,,,,,9,19,9,522,657,0.516,0.258,84
,,,,,,,,,,10,19,10,522,657,0,0,89
,,,,,,,,,,11,22,1,662,625,-1,-1,69
,,,,,,,,,,12,22,2,662,625,0,0,110
,,,,,,,,,,13,22,3,662,625,0,0,97
,,,,,,,,,,14,22,4,662,625,0,0,86
,,,,,,,,,,15,22,5,662,625,0,0,72
,,,,,,,,,,16,22,6,662,625,0,0,77
,,,,,,,,,,17,22,7,662,625,0,0,82
,,,,,,,,,,18,22,8,662,625,0,0,68
,,,,,,,,,,19,22,9,672,624,1.296,0.648,84
,,,,,,,,,,20,22,10,672,624,0,0,85
,,,,,,,,,,21,24,1,753,672,-1,-1,63
,,,,,,,,,,22,24,2,753,672,0,0,78
,,,,,,,,,,23,24,3,753,669,0.387,0.194,85
,,,,,,,,,,24,24,4,753,669,0,0,97
,,,,,,,,,,25,24,5,757,669,0.516,0.258,78
,,,,,,,,,,26,24,6,758,669,0.129,0.065,85
,,,,,,,,,,27,24,7,760,669,0.258,0.129,84
,,,,,,,,,,28,24,8,760,669,0,0,96
,,,,,,,,,,29,24,9,760,669,0,0,84
,,,,,,,,,,30,24,10,760,669,0,0,69
,,,,,,,,,,31,26,1,842,621,-1,-1,84
,,,,,,,,,,32,26,2,845,621,0.387,0.194,96
,,,,,,,,,,33,26,3,849,618,0.645,0.323,103
,,,,,,,,,,34,26,4,849,617,0.129,0.065,92
,,,,,,,,,,35,26,5,849,617,0,0,103
,,,,,,,,,,36,26,6,849,617,0,0,67
,,,,,,,,,,37,26,7,849,617,0,0,82
,,,,,,,,,,38,26,8,849,617,0,0,87
,,,,,,,,,,39,26,9,849,617,0,0,67
,,,,,,,,,,40,26,10,849,617,0,0,95
,,,,,,,,,,41,28,1,870,677,-1,-1,90
,,,,,,,,,,42,28,2,870,674,0.387,0.194,75
,,,,,,,,,,43,28,3,870,672,0.258,0.129,70
,,,,,,,,,,44,28,4,870,670,0.258,0.129,103
,,,,,,,,,,45,28,5,870,670,0,0,97
,,,,,,,,,,46,28,6,870,670,0,0,83
,,,,,,,,,,47,28,7,870,670,0,0,82
,,,,,,,,,,48,28,8,870,670,0,0,58
,,,,,,,,,,49,28,9,876,670,0.774,0.387,67
,,,,,,,,,,50,28,10,876,670,0,0,98
,,,,,,,,,,51,30,1,842,625,-1,-1,69
,,,,,,,,,,52,30,2,845,625,0.387,0.194,78
,,,,,,,,,,53,30,3,848,621,0.645,0.323,91
,,,,,,,,,,54,30,4,848,621,0,0,82
,,,,,,,,,,55,30,5,848,621,0,0,78
,,,,,,,,,,56,30,6,848,621,0,0,77
,,,,,,,,,,57,30,7,849,618,0.408,0.204,73
,,,,,,,,,,58,30,8,849,618,0,0,79
,,,,,,,,,,59,30,9,849,618,0,0,99
,,,,,,,,,,60,30,10,850,618,0.129,0.065,85
,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,33,1,581,61,-1,-1,77
,,,,,,,,,,2,33,2,581,60,0.129,0.065,75
,,,,,,,,,,3,33,3,581,60,0,0,82
,,,,,,,,,,4,33,4,581,60,0,0,66
,,,,,,,,,,5,33,5,581,60,0,0,65
,,,,,,,,,,6,33,6,581,60,0,0,65
,,,,,,,,,,7,33,7,581,60,0,0,85
,,,,,,,,,,8,33,8,581,60,0,0,75
,,,,,,,,,,9,33,9,581,60,0,0,66
,,,,,,,,,,10,33,10,581,60,0,0,74
,,,,,,,,,,11,35,1,644,68,-1,-1,83
,,,,,,,,,,12,35,2,644,73,-0.645,-0.323,103
,,,,,,,,,,13,35,3,638,66,1.189,0.595,91
,,,,,,,,,,14,35,4,638,66,0,0,79
,,,,,,,,,,15,35,5,638,66,0,0,70
,,,,,,,,,,16,35,6,638,66,0,0,74
,,,,,,,,,,17,35,7,638,66,0,0,73
,,,,,,,,,,18,35,8,638,66,0,0,50
,,,,,,,,,,19,35,9,638,66,0,0,79
,,,,,,,,,,20,35,10,638,66,0,0,80
,,,,,,,,,,21,37,1,546,174,-1,-1,73
,,,,,,,,,,22,37,2,542,174,-0.516,-0.258,82
,,,,,,,,,,23,37,3,542,174,0,0,93
,,,,,,,,,,24,37,4,542,174,0,0,79
,,,,,,,,,,25,37,5,545,174,0.387,0.194,65
,,,,,,,,,,26,37,6,545,174,0,0,87
,,,,,,,,,,27,37,7,545,174,0,0,82
,,,,,,,,,,28,37,8,545,174,0,0,75
,,,,,,,,,,29,37,9,545,173,0.129,0.065,79
,,,,,,,,,,30,37,10,545,173,0,0,68
,,,,,,,,,,31,39,1,364,110,-1,-1,107
,,,,,,,,,,32,39,2,360,113,-0.645,-0.323,91
,,,,,,,,,,33,39,3,358,114,-0.288,-0.144,67
,,,,,,,,,,34,39,4,358,114,0,0,79
,,,,,,,,,,35,39,5,358,114,0,0,85
,,,,,,,,,,36,39,6,358,114,0,0,87
,,,,,,,,,,37,39,7,358,114,0,0,91
,,,,,,,,,,38,39,8,364,114,0.774,0.387,69
,,,,,,,,,,39,39,9,364,118,0.516,0.258,71
,,,,,,,,,,40,39,10,364,118,0,0,98
,,,,,,,,,,41,41,1,354,174,-1,-1,101
,,,,,,,,,,42,41,2,352,181,-0.939,-0.47,84
,,,,,,,,,,43,41,3,352,181,0,0,100
,,,,,,,,,,44,41,4,352,181,0,0,83
,,,,,,,,,,45,41,5,349,181,-0.387,-0.194,78
,,,,,,,,,,46,41,6,349,181,0,0,91
,,,,,,,,,,47,41,7,349,181,0,0,97
,,,,,,,,,,48,41,8,349,181,0,0,95
,,,,,,,,,,49,41,9,349,181,0,0,99
,,,,,,,,,,50,41,10,349,181,0,0,95
,,,,,,,,,,51,43,1,725,118,-1,-1,91
,,,,,,,,,,52,43,2,722,120,-0.465,-0.233,84
,,,,,,,,,,53,43,3,722,120,0,0,85
,,,,,,,,,,54,43,4,722,120,0,0,96
,,,,,,,,,,55,43,5,722,120,0,0,65
,,,,,,,,,,56,43,6,722,120,0,0,91
,,,,,,,,,,57,43,7,722,120,0,0,97
,,,,,,,,,,58,43,8,722,120,0,0,79
,,,,,,,,,,59,43,9,722,120,0,0,73
,,,,,,,,,,60,43,10,722,120,0,0,87
,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,44,1,550,441,-1,-1,46
,,,,,,,,,,2,44,2,550,441,0,0,50
,,,,,,,,,,3,44,3,573,405,5.511,2.755,50
,,,,,,,,,,4,44,4,578,405,0.645,0.323,71
,,,,,,,,,,5,44,5,578,405,0,0,36
,,,,,,,,,,6,44,6,574,405,-0.516,-0.258,41
,,,,,,,,,,7,44,7,574,402,-0.387,-0.194,53
,,,,,,,,,,8,44,8,574,402,0,0,57
,,,,,,,,,,9,44,9,573,400,-0.288,-0.144,54
,,,,,,,,,,10,44,10,573,398,-0.258,-0.129,54
,,,,,,,,,,19,48,1,664,346,-1,-1,72
,,,,,,,,,,20,48,2,666,344,0.365,0.182,81
,,,,,,,,,,21,48,3,693,313,5.303,2.652,132
,,,,,,,,,,22,48,4,696,313,0.387,0.194,101
,,,,,,,,,,23,48,5,696,313,0,0,50
,,,,,,,,,,24,48,6,694,313,-0.258,-0.129,53
,,,,,,,,,,25,48,7,692,313,-0.258,-0.129,72
,,,,,,,,,,26,48,8,692,313,0,0,52
,,,,,,,,,,27,48,9,692,310,0.387,0.194,56
,,,,,,,,,,28,48,10,692,310,0,0,60
,,,,,,,,,,29,50,1,482,328,-1,-1,57
,,,,,,,,,,30,50,2,484,321,0.939,0.47,50
,,,,,,,,,,31,50,3,501,297,3.794,1.897,83
,,,,,,,,,,32,50,4,504,286,1.471,0.735,85
,,,,,,,,,,33,50,5,504,286,0,0,50
,,,,,,,,,,34,50,6,504,286,0,0,51
,,,,,,,,,,35,50,7,504,286,0,0,56
,,,,,,,,,,36,50,8,504,286,0,0,57
,,,,,,,,,,37,50,9,504,286,0,0,50
,,,,,,,,,,38,50,10,504,286,0,0,48
,,,,,,,,,,49,54,1,969,426,-1,-1,64
,,,,,,,,,,50,54,2,969,418,-1.032,-0.516,77
,,,,,,,,,,51,54,3,992,388,-4.876,-2.438,63
,,,,,,,,,,52,54,4,992,384,-0.516,-0.258,71
,,,,,,,,,,53,54,5,992,384,0,0,52
,,,,,,,,,,54,54,6,992,384,0,0,53
,,,,,,,,,,55,54,7,992,384,0,0,56
,,,,,,,,,,56,54,8,992,384,0,0,52
,,,,,,,,,,57,54,9,992,384,0,0,56
,,,,,,,,,,58,54,10,992,384,0,0,54
,,,,,,,,,,59,56,1,532,357,-1,-1,63
,,,,,,,,,,60,56,2,532,357,0,0,56
,,,,,,,,,,61,56,3,554,324,5.116,2.558,68
,,,,,,,,,,62,56,4,558,320,0.73,0.365,80
,,,,,,,,,,63,56,5,560,320,0.258,0.129,50
,,,,,,,,,,64,56,6,560,320,0,0,51
,,,,,,,,,,65,56,7,560,320,0,0,41
,,,,,,,,,,66,56,8,561,318,0.288,0.144,45
,,,,,,,,,,67,56,9,561,318,0,0,60
