1,1,1,313,365,-1,-1,-11054077
2,1,2,313,365,0,0,-9543152
3,1,3,313,365,0,0,-9676274
4,1,4,313,365,0,0,-11255807
5,1,5,312,362,0.408,11.655,-10789109
6,1,6,309,359,0.547,15.637,-11122176
7,1,7,309,358,0.129,3.686,-11384319
8,1,8,309,357,0.129,3.686,-9809396
9,1,9,309,356,0.129,3.686,-11714048
10,1,10,308,355,0.182,5.212,-9084911
11,1,11,308,355,0,0,-10464508
12,1,12,303,354,0.658,18.794,-10334713
13,1,13,299,354,0.516,14.743,-10139384
14,1,14,299,354,0,0,-11648768
15,1,15,296,354,0.387,11.057,-11583230
16,1,16,294,354,0.258,7.371,-9607920
17,1,17,293,353,0.182,5.212,-11453696
18,1,18,291,350,0.465,13.289,-9023730
19,1,19,319,324,4.929,140.831,-11779069
20,1,20,338,299,4.051,115.734,-7108313
21,1,21,349,325,3.642,104.052,-5795790
22,1,22,337,328,1.596,45.59,-5530058
23,1,23,324,323,1.797,51.336,-6121682
24,1,24,313,322,1.425,40.71,-7503322
25,1,25,322,322,1.161,33.171,-5793995
26,1,26,322,316,0.774,22.114,-11187453
27,1,27,355,253,9.174,262.127,-5595588
28,1,28,346,220,4.412,126.071,-4147378
29,1,29,347,211,1.168,33.376,-4412860
30,1,30,340,202,1.471,42.024,-4675007
31,1,31,328,193,1.935,55.286,-6319311
32,1,32,323,181,1.677,47.914,-7040726
33,1,33,306,163,3.194,91.254,-6517458
34,1,34,263,125,7.403,211.503,-8292323
35,1,35,252,118,1.682,48.056,-8623596
36,1,36,216,240,16.409,468.825,-10003444
37,1,37,213,309,8.909,254.555,-10395896
38,1,38,217,337,3.649,104.248,-6979799
39,1,39,219,336,0.288,8.242,-1855140
40,1,40,228,334,1.189,33.981,-9808885
41,1,41,228,334,0,0,-9742841
42,1,42,228,334,0,0,-10136312
43,1,43,228,334,0,0,-9216497
44,1,44,239,330,1.51,43.14,-12112125
45,1,45,233,339,1.395,39.867,-10856445
46,1,46,222,342,1.471,42.024,-15136512
47,1,47,211,350,1.755,50.131,-15068160
48,1,48,201,359,1.736,49.586,-12903674
49,1,49,229,301,8.308,237.378,-13685759
50,1,50,339,295,14.211,406.031,-5527491
51,1,51,353,311,2.743,78.359,-4745924
52,1,52,384,305,4.073,116.378,-2176926
53,1,53,398,295,2.219,63.411,-4610239
54,1,54,419,293,2.721,77.75,-3557551
55,1,55,448,279,4.154,118.689,-2636709
56,1,56,442,263,2.204,62.982,-1912986
57,1,57,457,241,3.435,98.14,-2766501
58,1,58,483,226,3.872,110.633,-1846428
59,1,59,522,216,5.194,148.393,-1782168
60,1,60,556,225,4.537,129.63,-3098538
61,1,61,582,224,3.356,95.899,-2176156
62,1,62,618,237,4.938,141.072,-1320334
63,1,63,625,244,1.277,36.487,-1516686
64,1,64,648,258,3.473,99.241,-1517713
65,1,65,651,259,0.408,11.655,-991624
66,1,66,662,264,1.559,44.535,-1384335
67,1,67,665,273,1.224,34.966,-2897828
68,1,68,666,275,0.288,8.242,-1845908
69,1,69,670,276,0.532,15.197,-1451920
70,1,70,693,277,2.97,84.852,-2503327
71,1,71,762,259,9.199,262.825,-661376
72,1,72,777,314,7.354,210.118,-1318794
73,1,73,791,326,2.379,67.961,-1978266
74,1,74,796,329,0.752,21.491,-1914516
75,1,75,794,328,0.288,8.242,-1977494
76,1,76,794,333,0.645,18.429,-2506912
77,1,77,790,330,0.645,18.429,-2176923
78,1,78,790,330,0,0,-2637734
79,1,79,788,327,0.465,13.289,-1255054
80,1,80,789,325,0.288,8.242,-2107540
81,1,81,789,325,0,0,-1976983
82,1,82,789,325,0,0,-2637476
83,1,83,789,323,0.258,7.371,-2966950
84,1,84,771,309,2.942,84.047,-2440097
85,1,85,758,300,2.04,58.276,-4473269
86,1,86,752,295,1.008,28.786,-1713813
87,1,87,724,255,6.299,179.96,-1650581
88,1,88,669,215,8.773,250.656,-1782678
89,1,89,667,213,0.365,10.425,-990854
