-67,27,-32
-68,25,-32
-67,26,-31
-66,26,-28
-67,26,-30
-65,23,-30
-67,25,-32
-67,25,-32
-65,26,-30
-68,26,-30
-66,26,-31
-67,26,-31
-66,26,-29
-67,27,-30
-66,26,-32
-67,26,-30
-68,27,-32
-65,25,-30
-65,24,-30
-67,28,-30
-66,26,-31
-67,26,-31
-68,25,-32
-65,26,-30
-65,24,-29
-66,24,-28
-66,24,-32
-65,24,-31
-66,24,-32
-66,24,-30
-67,28,-29
-66,25,-32
-67,26,-29
-67,23,-31
-67,25,-31
-67,24,-31
-67,25,-31
-68,25,-31
-67,24,-32
-65,26,-33
-65,26,-29
-68,25,-30
-67,26,-30
-65,24,-31
-65,25,-29
-66,27,-30
-67,26,-30
-66,26,-31
-65,27,-33
-68,25,-28
-66,25,-31
-67,27,-31
-66,26,-30
-65,24,-31
-67,26,-32
-68,26,-29
-68,25,-30
-67,24,-30
-67,26,-31
-65,26,-29
-67,25,-31
-67,26,-30
-66,25,-29
-66,26,-31
-67,26,-31
-64,28,-30
-68,26,-30
-67,25,-31
-66,23,-31
-65,26,-30
-66,26,-31
-68,26,-31
-66,26,-30
-65,27,-29
-68,25,-31
-68,23,-31
-66,26,-31
-68,25,-30
-69,25,-31
-66,22,-30
-66,24,-30
-66,26,-31
-64,26,-31
-66,25,-32
-67,26,-31
-67,25,-32
-66,26,-29
-66,26,-31
-65,24,-31
-67,23,-29
-66,26,-31
-67,24,-32
-68,26,-30
-66,24,-30
-68,25,-32
-66,27,-30
-65,26,-30
-66,24,-30
-66,25,-31
-67,25,-30
-65,25,-31
-67,26,-29
-66,26,-31
-65,26,-30
-67,26,-30
-67,24,-30
-67,27,-30
-67,26,-31
-66,29,-29
-67,25,-31
-67,25,-30
-66,25,-31
-66,26,-30
-67,25,-29
-66,25,-31
