 ,Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1.000,1.000,500.000,385.000,-1.000,-1.000,-13487261.000
2,1.000,2.000,502.000,384.000,0.288,0.144,-14403504.000
3,1.000,3.000,504.000,366.000,2.336,1.168,-13614524.000
4,1.000,4.000,499.000,377.000,1.559,0.779,-16773070.000
5,1.000,5.000,504.000,375.000,0.695,0.347,-8612738.000
6,1.000,6.000,504.000,374.000,0.129,0.064,-6708058.000
7,1.000,7.000,504.000,385.000,1.419,0.710,-2760245.000
8,1.000,8.000,509.000,381.000,0.826,0.413,-12824220.000
9,1.000,9.000,511.000,380.000,0.288,0.144,-6509648.000
10,1.000,10.000,514.000,383.000,0.547,0.274,-12890011.000
11,1.000,11.000,500.000,368.000,2.647,1.323,-9078396.000
12,1.000,12.000,500.000,361.000,0.903,0.452,-8151662.000
13,1.000,13.000,537.000,380.000,5.366,2.683,-12039089.000
14,1.000,14.000,537.000,374.000,0.774,0.387,-13353658.000
15,1.000,15.000,537.000,377.000,0.387,0.194,-13157045.000
16,1.000,16.000,520.000,378.000,2.197,1.098,-3482400.000
17,1.000,17.000,525.000,372.000,1.008,0.504,-11379092.000
18,1.000,18.000,528.000,358.000,1.847,0.923,-12432799.000
19,1.000,19.000,525.000,371.000,1.721,0.861,-2035983.000
20,1.000,20.000,525.000,356.000,1.935,0.968,-12105133.000
21,1.000,21.000,525.000,371.000,1.935,0.968,-1904140.000
22,1.000,22.000,524.000,362.000,1.168,0.584,-10655357.000
23,1.000,23.000,526.000,357.000,0.695,0.347,-4663847.000
24,1.000,24.000,547.000,366.000,2.947,1.474,-4798789.000
25,1.000,25.000,517.000,351.000,4.327,2.163,-12828596.000
26,1.000,26.000,527.000,357.000,1.504,0.752,-12627870.000
27,1.000,27.000,527.000,348.000,1.161,0.580,-7232872.000
28,1.000,28.000,527.000,358.000,1.290,0.645,-13021597.000
29,1.000,29.000,527.000,359.000,0.129,0.064,-8551803.000
30,1.000,30.000,527.000,358.000,0.129,0.064,-4799030.000
31,1.000,31.000,532.000,358.000,0.645,0.322,-12363417.000
32,2.000,1.000,581.000,285.000,-1.000,-1.000,-16775931.000
33,2.000,2.000,581.000,280.000,0.645,0.322,-16775424.000
34,2.000,3.000,577.000,274.000,0.930,0.465,-16575987.000
35,2.000,4.000,582.000,275.000,0.658,0.329,-14592456.000
36,2.000,5.000,568.000,279.000,1.878,0.939,-13806535.000
37,2.000,6.000,569.000,271.000,1.040,0.520,-12033467.000
38,2.000,7.000,587.000,292.000,3.568,1.784,-11838167.000
39,2.000,8.000,564.000,270.000,4.106,2.053,-15065056.000
40,2.000,9.000,581.000,293.000,3.689,1.845,-14404583.000
41,2.000,10.000,574.000,270.000,3.101,1.551,-11899833.000
42,2.000,11.000,546.000,282.000,3.930,1.965,-12364499.000
43,2.000,12.000,507.000,308.000,6.047,3.023,-14399654.000
44,2.000,13.000,540.000,269.000,6.590,3.295,-13875667.000
45,2.000,14.000,558.000,272.000,2.354,1.177,-10980787.000
46,2.000,15.000,535.000,253.000,3.848,1.924,-12100798.000
47,2.000,16.000,540.000,248.000,0.912,0.456,-14931678.000
48,2.000,17.000,540.000,252.000,0.516,0.258,-15259866.000
49,2.000,18.000,547.000,250.000,0.939,0.470,-14606573.000
50,2.000,19.000,547.000,240.000,1.290,0.645,-11768488.000
51,2.000,20.000,533.000,240.000,1.806,0.903,-14078674.000
52,2.000,21.000,551.000,239.000,2.326,1.163,-9795484.000
53,2.000,22.000,530.000,239.000,2.709,1.354,-6439243.000
54,2.000,23.000,540.000,239.000,1.290,0.645,-15194853.000
55,2.000,24.000,550.000,235.000,1.389,0.695,-12624834.000
56,2.000,25.000,530.000,235.000,2.580,1.290,-14274523.000
57,2.000,26.000,547.000,235.000,2.193,1.096,-15061734.000
58,2.000,27.000,525.000,234.000,2.841,1.420,-14735818.000
59,2.000,28.000,542.000,231.000,2.227,1.113,-15326169.000
60,2.000,29.000,540.000,228.000,0.465,0.233,-7361893.000
61,2.000,30.000,550.000,233.000,1.442,0.721,-10123936.000
62,2.000,31.000,545.000,233.000,0.645,0.322,-15326688.000
