 ,Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1.000,1.000,176.000,298.000,-1.000,-1.000,-16314357.000
2,1.000,2.000,172.000,297.000,0.532,0.266,-16313846.000
3,1.000,3.000,172.000,296.000,0.129,0.064,-13678025.000
4,1.000,4.000,120.000,282.000,6.947,3.473,-14669546.000
5,1.000,5.000,105.000,297.000,2.737,1.368,-11973324.000
6,1.000,6.000,105.000,319.000,2.838,1.419,-9996186.000
7,1.000,7.000,105.000,328.000,1.161,0.580,-13553618.000
8,1.000,8.000,100.000,343.000,2.040,1.020,-12631744.000
9,1.000,9.000,99.000,361.000,2.326,1.163,-10723496.000
10,1.000,10.000,96.000,382.000,2.737,1.368,-11116446.000
11,1.000,11.000,107.000,396.000,2.297,1.148,-8486284.000
12,1.000,12.000,110.000,397.000,0.408,0.204,-11315617.000
13,1.000,13.000,127.000,413.000,3.012,1.506,-11578542.000
14,1.000,14.000,133.000,422.000,1.395,0.698,-11316119.000
15,1.000,15.000,150.000,425.000,2.227,1.113,-11181462.000
16,1.000,16.000,157.000,430.000,1.110,0.555,-8286596.000
17,1.000,17.000,157.000,430.000,0.000,0.000,-5131614.000
18,1.000,18.000,157.000,430.000,0.000,0.000,-4471115.000
19,1.000,19.000,172.000,427.000,1.973,0.987,-11052188.000
20,1.000,20.000,171.000,429.000,0.288,0.144,-12500142.000
21,1.000,21.000,164.000,429.000,0.903,0.452,-1707539.000
22,1.000,22.000,163.000,429.000,0.129,0.064,-2102293.000
23,1.000,23.000,164.000,429.000,0.129,0.064,-1510930.000
24,1.000,24.000,165.000,429.000,0.129,0.064,-1576472.000
25,1.000,25.000,165.000,429.000,0.000,0.000,-1904914.000
26,1.000,26.000,172.000,429.000,0.903,0.452,-2563870.000
27,1.000,27.000,172.000,429.000,0.000,0.000,-2102293.000
28,1.000,28.000,172.000,429.000,0.000,0.000,-2103059.000
29,1.000,29.000,201.000,434.000,3.796,1.898,-12563882.000
30,1.000,30.000,201.000,434.000,0.000,0.000,-12366503.000
31,1.000,31.000,203.000,441.000,0.939,0.470,-8024419.000
32,1.000,32.000,208.000,441.000,0.645,0.322,-13485759.000
33,2.000,1.000,59.000,355.000,-1.000,-1.000,-14342867.000
34,2.000,2.000,74.000,377.000,3.435,1.717,-13815751.000
35,2.000,3.000,116.000,392.000,5.753,2.877,-12234152.000
36,2.000,4.000,77.000,410.000,5.541,2.770,-9076606.000
37,2.000,5.000,124.000,429.000,6.540,3.270,-10721964.000
38,2.000,6.000,149.000,435.000,3.317,1.658,-5984351.000
39,2.000,7.000,162.000,413.000,3.296,1.648,-11315134.000
40,2.000,8.000,166.000,447.000,4.416,2.208,-6509910.000
41,2.000,9.000,183.000,421.000,4.007,2.004,-13683164.000
42,2.000,10.000,216.000,435.000,4.624,2.312,-7365494.000
43,2.000,11.000,221.000,425.000,1.442,0.721,-11510465.000
44,2.000,12.000,226.000,406.000,2.534,1.267,-13946838.000
45,2.000,13.000,249.000,428.000,4.106,2.053,-10789039.000
46,2.000,14.000,258.000,431.000,1.224,0.612,-12038578.000
47,2.000,15.000,280.000,445.000,3.364,1.682,-11707574.000
48,2.000,16.000,283.000,459.000,1.847,0.923,-10853049.000
49,2.000,17.000,275.000,429.000,4.005,2.003,-12561852.000
50,2.000,18.000,289.000,452.000,3.473,1.737,-15132132.000
51,2.000,19.000,267.000,390.000,8.487,4.243,-13285585.000
52,2.000,20.000,288.000,419.000,4.619,2.309,-9929881.000
53,2.000,21.000,294.000,438.000,2.570,1.285,-10062494.000
54,2.000,22.000,296.000,430.000,1.064,0.532,-9666709.000
55,2.000,23.000,296.000,441.000,1.419,0.710,-14145504.000
