 ,Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1.000,1.000,359.000,236.000,-1.000,-1.000,-16376303.000
2,1.000,2.000,357.000,232.000,0.577,0.288,-16771328.000
3,1.000,3.000,348.000,223.000,1.642,0.821,-16769280.000
4,1.000,4.000,360.000,235.000,2.189,1.095,-16571902.000
5,1.000,5.000,369.000,244.000,1.642,0.821,-15253229.000
6,1.000,6.000,369.000,252.000,1.032,0.516,-13086690.000
7,1.000,7.000,369.000,250.000,0.258,0.129,-11964610.000
8,1.000,8.000,362.000,243.000,1.277,0.639,-10188227.000
9,1.000,9.000,364.000,243.000,0.258,0.129,-11372220.000
10,1.000,10.000,360.000,232.000,1.510,0.755,-10646217.000
11,1.000,11.000,360.000,237.000,0.645,0.322,-11704518.000
12,1.000,12.000,362.000,239.000,0.365,0.182,-10974116.000
13,1.000,13.000,370.000,255.000,2.308,1.154,-6766772.000
14,1.000,14.000,360.000,246.000,1.736,0.868,-11440597.000
15,1.000,15.000,356.000,246.000,0.516,0.258,-12227030.000
16,1.000,16.000,356.000,240.000,0.774,0.387,-8410546.000
17,1.000,17.000,357.000,233.000,0.912,0.456,-9730757.000
18,1.000,18.000,357.000,232.000,0.129,0.064,-12230613.000
19,1.000,19.000,359.000,244.000,1.569,0.785,-12889036.000
20,1.000,20.000,365.000,257.000,1.847,0.923,-5908857.000
21,1.000,21.000,363.000,266.000,1.189,0.595,-12490451.000
22,1.000,22.000,351.000,261.000,1.677,0.838,-12496839.000
23,1.000,23.000,361.000,259.000,1.316,0.658,-6828395.000
24,1.000,24.000,356.000,252.000,1.110,0.555,-10976199.000
25,1.000,25.000,364.000,258.000,1.290,0.645,-9654682.000
26,1.000,26.000,353.000,256.000,1.442,0.721,-13280229.000
27,1.000,27.000,351.000,252.000,0.577,0.288,-13017298.000
28,1.000,28.000,357.000,249.000,0.865,0.433,-5841736.000
29,1.000,29.000,364.000,249.000,0.903,0.452,-7881610.000
30,1.000,30.000,370.000,249.000,0.774,0.387,-7486100.000
31,1.000,31.000,364.000,249.000,0.774,0.387,-9070522.000
32,2.000,1.000,315.000,394.000,-1.000,-1.000,-15654861.000
33,2.000,2.000,315.000,389.000,0.645,0.322,-16776192.000
34,2.000,3.000,315.000,390.000,0.129,0.064,-16708089.000
35,2.000,4.000,315.000,374.000,2.064,1.032,-15526136.000
36,2.000,5.000,343.000,366.000,3.757,1.878,-14993103.000
37,2.000,6.000,358.000,362.000,2.003,1.001,-13217256.000
38,2.000,7.000,311.000,379.000,6.447,3.224,-12893386.000
39,2.000,8.000,301.000,373.000,1.504,0.752,-12631764.000
40,2.000,9.000,295.000,380.000,1.189,0.595,-11905470.000
41,2.000,10.000,307.000,388.000,1.860,0.930,-10390192.000
42,2.000,11.000,301.000,391.000,0.865,0.433,-4207421.000
43,2.000,12.000,315.000,377.000,2.554,1.277,-11840433.000
44,2.000,13.000,353.000,368.000,5.038,2.519,-10915280.000
45,2.000,14.000,361.000,379.000,1.755,0.877,-6900554.000
46,2.000,15.000,313.000,389.000,6.325,3.162,-12039107.000
47,2.000,16.000,288.000,389.000,3.225,1.612,-8420274.000
48,2.000,17.000,288.000,390.000,0.129,0.064,-10722243.000
49,2.000,18.000,305.000,392.000,2.208,1.104,-12630978.000
50,2.000,19.000,313.000,384.000,1.459,0.730,-12300723.000
51,2.000,20.000,352.000,366.000,5.541,2.770,-11241128.000
52,2.000,21.000,365.000,365.000,1.682,0.841,-12956618.000
53,2.000,22.000,295.000,373.000,9.089,4.544,-11905470.000
54,2.000,23.000,303.000,373.000,1.032,0.516,-12301251.000
55,2.000,24.000,301.000,362.000,1.442,0.721,-10655144.000
56,2.000,25.000,321.000,360.000,2.593,1.296,-13417169.000
57,2.000,26.000,367.000,364.000,5.956,2.978,-9995953.000
58,2.000,27.000,367.000,373.000,1.161,0.580,-13284284.000
59,2.000,28.000,364.000,383.000,1.347,0.673,-11240361.000
60,2.000,29.000,296.000,390.000,8.818,4.409,-6906534.000
61,2.000,30.000,288.000,390.000,1.032,0.516,-12497597.000
62,2.000,31.000,283.000,390.000,0.645,0.322,-9927597.000
