 ,Angle,Length
1,-85.815,11.632
2,-85.547,11.558
3,-85.764,11.509
4,-85.764,11.509
5,-85.764,11.509
6,-85.764,11.509
7,-85.764,11.509
8,-85.764,11.509
9,-85.764,11.509
10,-85.764,11.509
11,-85.462,11.914
12,-84.915,11.165
13,-87.614,11.308
14,-83.817,11.364
15,-85.255,11.964
16,-87.284,11.948
17,-88.498,12.577
18,-88.498,12.577
19,-88.498,12.577
20,-87.623,12.488
21,-85.764,12.760
22,-86.004,12.850
23,-86.004,12.850
24,-86.918,12.255
25,-87.549,12.119
26,-85.474,11.341
27,-85.455,11.271
28,-85.455,11.271
29,-85.455,11.271
30,-85.455,11.271
31,-85.455,11.271
