 ,Angle,Length
1,91.579,11.639
2,92.499,11.538
3,92.451,11.783
4,96.218,11.824
5,98.696,11.798
6,99.314,11.576
7,99.500,11.375
8,95.106,10.793
9,91.229,10.644
10,91.721,10.646
11,93.545,10.371
12,94.283,10.412
13,93.945,10.669
14,94.032,10.410
15,94.494,10.537
16,94.906,10.729
17,94.642,10.756
18,94.642,10.756
19,95.217,10.580
20,95.172,10.670
21,95.172,10.670
22,94.508,11.075
23,93.677,11.446
24,92.263,11.583
25,89.768,11.328
26,89.275,10.856
27,91.950,10.754
28,91.933,10.877
29,91.650,11.135
30,91.438,10.935
31,90,10.779
