 ,Angle,Length
1,-88.210,11.760
2,-87.284,11.629
3,-87.138,11.969
4,-83.782,11.882
5,-81.338,11.888
6,-80.241,11.673
7,-80.500,11.401
8,-84.652,10.853
9,-88.519,10.687
10,-87.788,10.737
11,-86.203,10.399
12,-85.679,10.376
13,94.138,10.790
14,94.743,10.551
15,94.743,10.551
16,95.106,10.835
17,95.106,10.835
18,95.106,10.835
19,95.106,10.835
20,95.440,10.670
21,94.906,10.724
22,94.471,11.178
23,93.875,11.536
24,92.255,11.657
25,89.768,11.357
26,89.519,10.913
27,91.950,10.782
28,91.950,10.782
29,91.650,11.163
30,90.959,10.991
31,90.959,10.991
