 ,Angle,Length
1,90.441,12.006
2,90.436,12.180
3,93.130,11.839
4,92.918,11.790
5,92.716,11.719
6,93.155,11.756
7,93.155,11.756
8,93.155,11.756
9,93.155,11.756
10,93.244,11.434
11,93.244,11.434
12,94.648,11.417
13,93.461,11.506
14,92.318,11.425
15,92.157,11.077
16,93.113,11.050
17,92.130,11.180
18,90.967,10.983
19,92.175,10.989
20,90.955,11.110
21,90.245,10.843
22,91.432,11.089
23,90.483,10.982
24,91.193,11.122
25,91.685,10.997
26,91.426,11.159
27,91.214,10.915
28,90.951,11.167
29,90,11.074
30,88.802,11.076
31,89.281,11.063
