 ,Angle,Length
1,-87.576,11.333
2,-94.178,11.935
3,-94.178,11.935
4,-94.178,11.935
5,-94.728,12.004
6,-94.728,12.004
7,-94.728,12.004
8,-94.728,12.004
9,-94.727,11.643
10,-94.627,11.522
11,-97.537,11.885
12,-96.048,11.649
13,-96.039,11.949
14,-96.616,11.702
15,-96.616,11.702
16,-100.135,11.725
17,-101.282,11.934
18,-102.733,11.816
19,-105.042,11.994
20,-106.553,12.397
21,-107.750,12.662
22,-109.003,12.403
23,-111.501,12.749
24,-114.222,12.771
25,-114.222,12.771
26,-112.682,12.637
27,-113.660,12.669
28,-115.033,13.024
29,-116.565,12.993
30,-118.118,13.338
31,-116.449,13.181
