 ,Angle,Length
1,82.427,12.185
2,82.057,12.126
3,81.501,12.284
4,82.384,12.116
5,82.057,12.126
6,82.102,12.195
7,81.824,12.274
8,82.405,12.679
9,82.718,12.670
10,84.864,12.478
11,82.235,12.402
12,82.513,12.324
13,82.999,12.029
14,80.049,12.122
15,80.106,12.190
16,81.060,12.581
17,80.910,12.374
18,80.643,12.454
19,81.079,12.156
20,80.162,12.259
21,80.701,12.098
22,80.538,11.892
23,80.593,11.961
24,78.111,12.201
25,78.245,12.338
26,78.433,12.187
27,78.881,12.310
28,79.139,12.228
29,76.206,12.006
30,76.441,12.210
