 ,Angle,Length
1,-93.305,11.505
2,-92.776,11.534
3,-93.236,11.749
4,-93.151,11.433
5,-93.266,11.644
6,-91.525,11.804
7,-95.449,10.661
8,-95.028,11.950
9,-94.694,11.945
10,-94.750,11.805
11,-94.540,11.907
12,-94.970,12.090
13,-94.708,11.910
14,-94.694,11.945
15,-94.708,11.910
16,-94.567,11.837
17,-94.230,11.832
18,-94.360,11.939
19,-94.373,11.904
20,-94.360,11.922
21,-94.736,11.834
22,-93.030,11.860
23,-89.835,12.105
24,-90.328,12.184
25,-90.164,12.175
26,-90.163,12.227
27,-90.165,12.149
28,-90,12.000
29,-90.974,12.299
30,-90,12.184
