 ,Angle,Length
1,-87.354,11.129
2,-87.161,11.306
3,-87.419,11.433
4,-87.419,11.433
5,-87.161,11.343
6,-87.594,11.150
7,-87.039,10.851
8,-85.358,10.976
9,-86.285,10.835
10,-85.620,11.031
11,-85.358,10.953
12,-85.809,10.890
13,-86.219,10.638
14,-86.974,10.617
15,-86.693,10.549
16,-86.693,10.549
17,-87.176,10.439
18,-87.176,10.439
19,-88.459,10.408
20,-88.210,10.479
21,-87.955,10.469
22,-88.459,10.443
23,-88.710,10.383
24,-88.963,10.335
25,-89.212,10.218
26,-89.212,10.218
27,-89.474,10.194
28,-88.924,9.984
29,-89.193,9.960
30,-89.201,10.077
31,-89.201,10.077
