 ,Angle,Length
1,-87.297,10.815
2,-87.052,10.848
3,-86.793,10.755
4,-88.083,11.068
5,-89.526,11.225
6,-90.967,10.970
7,-93.325,11.172
8,-92.899,10.982
9,-90.731,10.888
10,-91.501,10.636
11,-86.722,10.557
12,-88.506,10.648
13,-85.156,10.999
14,-86.675,11.186
15,-86.170,11.087
16,-85.030,11.791
17,-85.276,11.254
18,-87.297,10.807
19,-86.394,11.049
20,-91.990,12.020
21,-89.341,12.119
22,-90.669,11.898
23,-90.669,11.898
24,-90.906,11.736
25,-94.135,11.556
26,-93.547,11.244
27,-99.134,11.967
28,-103.878,12.190
29,-110.656,12.471
30,-112.824,13.025
31,-116.834,13.247
