 ,Angle,Length
1,177.130,12.292
2,179.134,12.237
3,179.412,12.021
4,176.941,12.120
5,176.738,11.916
6,176.215,12.139
7,177.809,12.081
8,177.371,12.084
9,177.246,12.188
10,176.290,12.375
11,176.290,12.375
12,177.017,12.437
13,178.081,11.945
14,179.420,12.175
15,-175.579,12.384
16,178.661,11.849
17,175.860,11.528
18,176.386,11.715
19,177.309,11.819
20,177.138,11.718
21,175.057,11.428
22,174.508,11.252
23,175.097,11.539
24,171.612,11.611
25,171.612,11.611
26,170.488,11.742
27,170.612,11.705
28,170.612,11.705
29,170.612,11.705
30,170.612,11.705
31,170.612,11.705
