 ,Angle,Length
1,-90.442,12.275
2,-93.122,12.156
3,-92.440,12.601
4,-92.015,12.566
5,-89.293,12.780
6,-89.143,12.644
7,-90.441,12.296
8,-90.148,12.232
9,-90.148,12.232
10,-90.148,12.232
11,-90.148,12.232
12,-90.746,12.107
13,-91.039,12.161
14,-91.039,12.161
15,-90.905,11.981
16,-90.458,11.823
17,-90.613,11.802
18,-90.618,11.696
19,-90.618,11.696
20,-90.618,11.696
21,-90.618,11.696
22,-90.618,11.696
23,-90.618,11.696
24,-90.618,11.696
25,-90.618,11.696
26,-90.618,11.696
27,-90.618,11.696
28,-90.618,11.696
29,-90.618,11.696
30,-90.618,11.696
31,-90.618,11.696
