 ,Angle,Length
1,90.230,11.391
2,90,11.399
3,90,11.399
4,89.767,11.262
5,89.767,11.262
6,89.530,11.159
7,89.528,11.125
8,89.528,11.125
9,89.528,11.125
10,89.538,11.342
11,89.076,11.332
12,89.061,11.160
13,87.634,11.066
14,87.614,10.973
15,87.852,11.006
16,87.879,11.110
17,87.879,11.110
18,87.843,10.961
19,88.343,11.071
20,87.614,10.998
21,88.308,10.866
22,87.852,11.007
23,88.574,11.037
24,88.580,11.082
25,88.580,11.082
26,89.304,11.286
27,89.076,11.332
28,88.415,11.587
29,88.631,11.482
30,89.076,11.367
31,88.641,11.562
