 ,Angle,Length
1,-86.557,11.016
2,-87.219,11.049
3,-89.234,11.779
4,-89.234,11.779
5,-89.695,11.856
6,-90.303,11.920
7,-86.055,11.900
8,-88.472,11.813
9,-88.117,11.523
10,-88.117,11.523
11,-89.228,11.700
12,-91.958,11.082
13,-91.632,11.056
14,-91.775,11.191
15,-91.775,11.191
16,-88.130,10.631
17,88.723,11.323
18,86.393,11.027
19,85.365,10.550
20,84.511,10.554
21,88.250,11.365
22,90.475,11.415
23,89.533,11.604
24,87.999,11.745
25,89.083,11.834
26,89.083,11.834
27,89.083,11.834
28,89.083,11.834
29,89.083,11.834
30,89.083,11.834
