 ,Angle,Length
1,-85.208,11.701
2,-84.428,11.505
3,-85.865,11.621
4,-84.958,11.916
5,-85.320,11.979
6,-84.987,11.985
7,-83.489,12.930
8,-82.425,13.242
9,-82.250,11.909
10,-82.539,11.830
11,97.461,11.830
12,97.417,11.899
13,97.705,11.978
14,97.042,11.960
15,96.961,12.098
16,95.580,12.207
17,94.399,11.835
18,93.968,12.108
19,90,11.660
20,87.683,12.089
21,87.005,12.026
22,87.337,12.022
23,87.056,12.235
24,93.013,10.627
25,87.427,12.441
26,87.073,12.305
27,-91.317,12.152
28,-91.340,11.943
29,-92.331,12.019
30,-91.986,12.086
