 ,Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1.000,1.000,188.000,242.000,-1.000,-1.000,-16768254.000
2,1.000,2.000,203.000,228.000,2.647,1.323,-16771070.000
3,1.000,3.000,203.000,228.000,0.000,0.000,-16768000.000
4,1.000,4.000,208.000,228.000,0.645,0.322,-16763882.000
5,1.000,5.000,208.000,230.000,0.258,0.129,-9006435.000
6,1.000,6.000,202.000,245.000,2.084,1.042,-10761880.000
7,1.000,7.000,202.000,254.000,1.161,0.580,-8930699.000
8,1.000,8.000,209.000,259.000,1.110,0.555,-4268096.000
9,1.000,9.000,227.000,259.000,2.322,1.161,-6242678.000
10,1.000,10.000,236.000,255.000,1.271,0.635,-9727137.000
11,1.000,11.000,256.000,237.000,3.471,1.736,-6553649.000
12,1.000,12.000,270.000,231.000,1.965,0.982,-4456999.000
13,1.000,13.000,275.000,225.000,1.008,0.504,-12214192.000
14,1.000,14.000,264.000,209.000,2.505,1.252,-10371967.000
15,1.000,15.000,283.000,211.000,2.465,1.232,-8797548.000
16,1.000,16.000,273.000,222.000,1.918,0.959,-2426640.000
17,1.000,17.000,279.000,210.000,1.731,0.865,-11960714.000
18,1.000,18.000,279.000,210.000,0.000,0.000,-10709129.000
19,1.000,19.000,287.000,210.000,1.032,0.516,-5710401.000
20,1.000,20.000,293.000,212.000,0.816,0.408,-12815541.000
21,1.000,21.000,288.000,214.000,0.695,0.347,-7688578.000
22,1.000,22.000,288.000,206.000,1.032,0.516,-12222364.000
23,1.000,23.000,293.000,202.000,0.826,0.413,-4659010.000
24,1.000,24.000,304.000,204.000,1.442,0.721,-3546154.000
25,1.000,25.000,312.000,199.000,1.217,0.608,-11882884.000
26,1.000,26.000,285.000,202.000,3.504,1.752,-1769991.000
27,1.000,27.000,314.000,204.000,3.750,1.875,-12617641.000
28,1.000,28.000,313.000,200.000,0.532,0.266,-7476619.000
29,1.000,29.000,301.000,199.000,1.553,0.777,-12677024.000
30,1.000,30.000,299.000,196.000,0.465,0.233,-3084311.000
31,1.000,31.000,308.000,198.000,1.189,0.595,-11042481.000
32,1.000,32.000,308.000,197.000,0.129,0.064,-2690065.000
33,2.000,1.000,331.000,195.000,-1.000,-1.000,-16640766.000
34,2.000,2.000,289.000,185.000,5.569,2.785,-16776704.000
35,2.000,3.000,270.000,171.000,3.045,1.522,-16774399.000
36,2.000,4.000,300.000,162.000,4.040,2.020,-13740261.000
37,2.000,5.000,343.000,180.000,6.013,3.007,-16765694.000
38,2.000,6.000,372.000,179.000,3.743,1.872,-14989032.000
39,2.000,7.000,377.000,177.000,0.695,0.347,-15118298.000
40,2.000,8.000,389.000,169.000,1.860,0.930,-13542862.000
41,2.000,9.000,396.000,169.000,0.903,0.452,-13868998.000
42,2.000,10.000,414.000,191.000,3.667,1.833,-14719167.000
43,2.000,11.000,421.000,193.000,0.939,0.470,-12744886.000
44,2.000,12.000,423.000,172.000,2.721,1.361,-13076670.000
45,2.000,13.000,440.000,162.000,2.544,1.272,-12951495.000
46,2.000,14.000,460.000,183.000,3.741,1.870,-7820162.000
47,2.000,15.000,463.000,170.000,1.721,0.861,-13541833.000
48,2.000,16.000,467.000,175.000,0.826,0.413,-10516651.000
49,2.000,17.000,467.000,173.000,0.258,0.129,-13213399.000
50,2.000,18.000,468.000,165.000,1.040,0.520,-10252965.000
51,2.000,19.000,477.000,190.000,3.428,1.714,-3413026.000
52,2.000,20.000,475.000,166.000,3.107,1.553,-11436207.000
53,2.000,21.000,475.000,176.000,1.290,0.645,-14000090.000
54,2.000,22.000,475.000,192.000,2.064,1.032,-3150640.000
55,2.000,23.000,480.000,166.000,3.415,1.708,-14459596.000
56,2.000,24.000,483.000,171.000,0.752,0.376,-14526412.000
57,2.000,25.000,494.000,177.000,1.616,0.808,-7094398.000
58,2.000,26.000,496.000,171.000,0.816,0.408,-4201788.000
59,2.000,27.000,487.000,171.000,1.161,0.580,-3676725.000
60,2.000,28.000,471.000,136.000,4.964,2.482,-13608907.000
61,2.000,29.000,486.000,163.000,3.984,1.992,-13405377.000
62,2.000,30.000,486.000,141.000,2.838,1.419,-9135753.000
63,2.000,31.000,486.000,158.000,2.193,1.096,-13937373.000
64,2.000,32.000,506.000,179.000,3.741,1.870,-4267843.000
