pas	01all
1	-0.0007499996573
2	0.0007499996573
3	0.000549999997
4	-0.000549999997
5	-0.0001500006765
6	-0.0004499983042
7	-0.0001500006765
8	-0.0004499983042
9	-0.0004499983042
10	-0.000549999997
11	-0.0006500016898
12	0.00085000135
13	-0.0004499983042
14	-0.0007499996573
15	-0.0006500016898
16	-0.0006500016898
17	-0.000549999997
18	-0.0007499996573
19	-0.0003500003368
20	-0.0003500003368
21	-0.000549999997
22	-0.0004499983042
23	-0.0004499983042
24	-0.0004499983042
25	-0.0003500003368
26	-0.0006500016898
27	-0.0001500006765
28	-0.0004499983042
29	-0.0003500003368
30	-0.0004499983042
31	-0.0003500003368
32	-0.0004499983042
33	-0.0004499983042
34	-0.000249998644
35	-0.0001500006765
36	-0.000549999997
37	-0.0004499983042
38	-0.0003500003368
39	-0.0001500006765
40	-0.0004499983042
41	0.001149998978
42	-0.0004499983042
43	-0.000249998644
44	-0.000249998644
45	-0.000249998644
46	-0.0006500016898
47	-0.0003500003368
48	-0.0003500003368
49	-0.0001500006765
50	-0.00004999898374
51	-0.000249998644
52	-0.0003500003368
53	-0.000249998644
54	-0.000249998644
55	-0.0001500006765
56	-0.000549999997
57	-0.0003500003368
58	-0.000249998644
59	-0.0003500003368
60	-0.000249998644
61	-0.00004999898374
62	-0.0004499983042
63	-0.0001500006765
64	0.00004999898374
65	-0.0004499983042
66	-0.000249998644
67	0.000549999997
68	-0.00004999898374
69	-0.0001500006765
70	-0.0004499983042
71	-0.0003500003368
72	-0.000249998644
73	-0.0001500006765
74	-0.00004999898374
75	0.0004499983042
76	-0.0001500006765
77	0.000249998644
78	-0.0001500006765
79	-0.0001500006765
80	0.0004499983042
81	-0.00004999898374
82	0.00004999898374
83	0.0001500006765
84	0.00004999898374
85	0.00004999898374
86	-0.000249998644
87	-0.00004999898374
88	0.000249998644
89	0.000249998644
90	-0.00004999898374
91	-0.0001500006765
92	0.00004999898374
93	-0.0001500006765
94	-0.0001500006765
95	-0.0001500006765
96	-0.00004999898374
97	0.0001500006765
98	-0.0001500006765
99	-0.0001500006765
100	-0.00004999898374
101	-0.00004999898374
102	0.0001500006765
103	-0.00004999898374
104	-0.0001500006765
105	-0.00004999898374
106	-0.00004999898374
107	-0.000249998644
108	-0.0001500006765
109	0.0001500006765
110	-0.00004999898374
111	0.0004499983042
112	-0.000249998644
113	-0.00004999898374
114	0.0001500006765
115	-0.0001500006765
116	0.00004999898374
117	0.0006500016898
118	0.0001500006765
119	-0.00004999898374
120	0.000549999997
121	-0.00004999898374
122	-0.00004999898374
123	-0.00004999898374
124	-0.00004999898374
125	0.0001500006765
126	-0.0001500006765
127	0.00004999898374
128	0.0001500006765
129	0.0004499983042
130	-0.0001500006765
131	0.000249998644
132	0.0003500003368
133	0.0001500006765
134	0.0006500016898
135	0.00105000101
136	0.001149998978
137	0.001450000331
138	0.0004499983042
139	0.000249998644
140	0.0004499983042
141	0.0003500003368
142	0.00105000101
143	0.000549999997
144	0.0006500016898
145	0.001149998978
146	0.001849999651
147	0.0006500016898
148	0.002350000665
1	-0.000549999997
2	-0.000549999997
3	-0.0004499983042
4	-0.0004499983042
5	-0.000249998644
6	-0.000549999997
7	-0.0003500003368
8	-0.0006500016898
9	-0.0004499983042
10	-0.0003500003368
11	-0.0004499983042
12	-0.000549999997
13	-0.000549999997
14	-0.0006500016898
15	-0.0006500016898
16	-0.0004499983042
17	-0.0003500003368
18	-0.000249998644
19	-0.000249998644
20	-0.0004499983042
21	-0.0004499983042
22	-0.000249998644
23	-0.0004499983042
24	-0.000249998644
25	-0.0004499983042
26	-0.0003500003368
27	-0.0006500016898
28	-0.0004499983042
29	-0.000549999997
30	-0.000249998644
31	-0.000249998644
32	-0.0003500003368
33	-0.0003500003368
34	-0.000249998644
35	-0.00004999898374
36	0.00004999898374
37	-0.0001500006765
38	-0.00004999898374
39	-0.0004499983042
40	-0.0004499983042
41	-0.0001500006765
42	-0.0003500003368
43	-0.000249998644
44	-0.0003500003368
45	-0.0003500003368
46	-0.0003500003368
47	-0.0003500003368
48	-0.000249998644
49	-0.0004499983042
50	-0.000249998644
51	-0.000249998644
52	-0.00004999898374
53	-0.0004499983042
54	-0.0003500003368
55	-0.000549999997
56	-0.000549999997
57	-0.0001500006765
58	-0.0001500006765
59	-0.0001500006765
60	-0.00004999898374
61	-0.00004999898374
62	-0.00004999898374
63	0.0004499983042
64	-0.000249998644
65	-0.0006500016898
66	-0.0006500016898
67	-0.000549999997
68	-0.0007499996573
69	-0.0003500003368
70	-0.0004499983042
71	-0.0004499983042
72	-0.0004499983042
73	-0.000549999997
74	-0.0003500003368
75	-0.00004999898374
76	-0.0004499983042
77	-0.00085000135
78	-0.000549999997
79	-0.0006500016898
80	-0.0004499983042
81	-0.0003500003368
82	-0.0004499983042
83	-0.0003500003368
84	-0.0004499983042
85	-0.0004499983042
86	-0.000549999997
87	-0.0003500003368
88	-0.00004999898374
89	-0.0004499983042
90	-0.0004499983042
91	-0.000549999997
92	-0.000549999997
93	-0.0003500003368
94	-0.0003500003368
95	-0.0003500003368
96	-0.000249998644
97	-0.0001500006765
98	-0.0003500003368
99	-0.000249998644
100	-0.0004499983042
101	-0.0003500003368
102	-0.0004499983042
103	-0.0003500003368
104	-0.000249998644
105	-0.0001500006765
106	-0.00004999898374
107	-0.0003500003368
108	-0.0004499983042
109	-0.0003500003368
110	0.00004999898374
111	0.00004999898374
112	0.0001500006765
113	-0.0001500006765
114	-0.000249998644
115	-0.000249998644
116	-0.0001500006765
117	-0.0001500006765
118	-0.0001500006765
119	-0.00004999898374
120	-0.000249998644
121	0.00004999898374
122	-0.00004999898374
123	-0.00004999898374
124	-0.00004999898374
125	0.00004999898374
126	-0.00004999898374
127	-0.0001500006765
128	-0.0001500006765
129	-0.0003500003368
130	-0.001250000671
131	-0.000249998644
132	-0.0004499983042
133	-0.000549999997
134	-0.000549999997
135	-0.0004499983042
136	-0.000549999997
137	-0.0006500016898
138	-0.0004499983042
139	-0.0003500003368
140	-0.0001500006765
141	-0.0003500003368
142	-0.000249998644
143	-0.000249998644
144	-0.0007499996573
145	-0.0003500003368
146	-0.0004499983042
147	-0.0004499983042
148	-0.0004499983042
1	-0.0003500003368
2	-0.0003500003368
3	-0.000249998644
4	-0.0001500006765
5	-0.0004499983042
6	-0.0003500003368
7	-0.0003500003368
8	-0.0004499983042
9	-0.0003500003368
10	-0.0001500006765
11	-0.0003500003368
12	-0.000249998644
13	-0.0001500006765
14	-0.0003500003368
15	-0.000549999997
16	-0.0004499983042
17	-0.000249998644
18	-0.0003500003368
19	-0.0001500006765
20	-0.0004499983042
21	-0.0003500003368
22	-0.0001500006765
23	-0.0004499983042
24	-0.0001500006765
25	-0.0004499983042
26	-0.0001500006765
27	-0.0003500003368
28	-0.00004999898374
29	-0.000549999997
30	-0.0001500006765
31	0.00004999898374
32	-0.0003500003368
33	-0.000249998644
34	-0.000249998644
35	-0.00004999898374
36	-0.0001500006765
37	0.00004999898374
38	0.00004999898374
39	-0.000249998644
40	-0.000249998644
41	-0.0004499983042
42	-0.00004999898374
43	-0.0003500003368
44	-0.0003500003368
45	-0.000249998644
46	-0.0003500003368
47	-0.0004499983042
48	-0.00004999898374
49	-0.0001500006765
50	-0.0001500006765
51	-0.0001500006765
52	0.00004999898374
53	-0.0001500006765
54	-0.0003500003368
55	-0.000249998644
56	-0.0003500003368
57	-0.00004999898374
58	0.0001500006765
59	-0.00004999898374
60	0.00004999898374
61	-0.00004999898374
62	0.00004999898374
63	0.0001500006765
64	-0.000249998644
65	-0.000249998644
66	-0.0003500003368
67	-0.0004499983042
68	-0.0004499983042
69	-0.0001500006765
70	-0.00004999898374
71	-0.0004499983042
72	-0.000249998644
73	-0.0004499983042
74	-0.000249998644
75	-0.00004999898374
76	-0.00004999898374
77	-0.0003500003368
78	-0.00004999898374
79	-0.00004999898374
80	-0.0001500006765
81	-0.0001500006765
82	-0.00004999898374
83	0.0001500006765
84	-0.00004999898374
