 ,Angle,Length
1,-86.258,11.097
2,-81.620,10.755
3,-82.278,10.778
4,-82.278,10.778
5,-84.365,11.360
6,-82.835,10.623
7,-83.271,10.816
8,-83.924,10.816
9,-84.243,11.113
10,-86.812,11.378
11,-85.471,12.228
12,-91.848,12.166
13,-92.240,12.335
14,-92.490,12.489
15,-92.030,11.912
16,-92.331,11.853
17,-92.331,11.853
18,-92.331,11.853
19,-92.331,11.853
20,-92.862,12.085
21,-92.564,12.142
22,-93.738,12.035
23,-95.537,11.885
24,-97.253,11.712
25,-96.744,11.819
26,-95.274,11.819
27,-100.891,12.122
28,-104.036,12.320
29,-102.899,12.147
30,-104.850,12.347
