 ,Area,Mean,Min,Max
1,431.651,116.071,20,254
2,333.716,119.437,27,227
3,345.215,113.060,12,255
4,221.203,91.554,0,179
5,464.119,100.909,19,240
6,352.635,96.182,18,160
