0  1.7302  
0  1.6720 
0_0g 1.7936
0_0g2  1.8122  
20%-1  1.7570  
20%-2  1.8352  
40%-1  1.7808  
40%-2  1.7607  
60%-1  1.7969  
60%-2  1.8397  
80%-1  1.8012  
80%-2  1.8985 
100%-0G1  1.7461  
100%-0G2  1.7714  
100%-G2  1.7503  
100%-G  1.7037  

