 ,Area,Mean,Min,Max
1,48.192,118.082,93,137
2,48.057,122.529,107,135
3,37.399,125.797,107,138
4,32.893,127.727,102,138
5,17.485,115.344,92,130
6,45.278,122.093,99,136
