 ,Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1,1,491,323,-1.000,-1.000,-16776960
2,1,2,494,325,0.465,0.233,-16777212
3,1,3,494,310,1.935,0.968,-16447488
4,1,4,492,327,2.208,1.104,-16774889
5,1,5,490,327,0.258,0.129,-15785170
6,1,6,491,325,0.288,0.144,-13616068
7,1,7,531,318,5.238,2.619,-13285583
8,1,8,547,301,3.012,1.506,-13481681
9,1,9,579,286,4.559,2.280,-11705023
10,1,10,569,258,3.835,1.918,-13481420
11,1,11,558,239,2.832,1.416,-14074588
12,1,12,540,240,2.326,1.163,-13680335
13,1,13,535,241,0.658,0.329,-13613510
14,1,14,537,254,1.697,0.848,-13945304
15,1,15,522,264,2.326,1.163,-13879513
16,1,16,510,276,2.189,1.095,-13879765
17,1,17,516,294,2.448,1.224,-13022160
18,1,18,499,295,2.197,1.098,-12958661
19,1,19,483,289,2.204,1.102,-13417671
20,1,20,485,298,1.189,0.595,-13812432
21,1,21,471,286,2.379,1.189,-13286856
22,1,22,465,288,0.816,0.408,-13420241
23,1,23,437,292,3.649,1.824,-12497337
24,1,24,413,289,3.120,1.560,-12494788
25,1,25,413,289,0.000,0.000,-13154250
26,1,26,411,287,0.365,0.182,-11505824
27,1,27,400,284,1.471,0.735,-9730979
28,1,28,397,284,0.387,0.194,-13284546
29,1,29,400,283,0.408,0.204,-11768989
30,1,30,379,263,3.741,1.871,-13215170
31,1,31,378,248,1.939,0.970,-12757961
32,2,1,510,236,-1.000,-1.000,-16710912
33,2,2,510,240,0.516,0.258,-16645881
34,2,3,506,231,1.271,0.635,-16777208
35,2,4,501,243,1.677,0.839,-16636927
36,2,5,500,240,0.408,0.204,-15852278
37,2,6,486,260,3.149,1.575,-11438777
38,2,7,489,258,0.465,0.233,-13739465
39,2,8,485,279,2.758,1.379,-13351116
40,2,9,487,295,2.080,1.040,-13417671
41,2,10,490,312,2.227,1.113,-13286086
42,2,11,470,311,2.583,1.292,-13677745
43,2,12,457,301,2.116,1.058,-10647711
44,2,13,457,295,0.774,0.387,-13022387
45,2,14,432,310,3.761,1.880,-11236778
46,2,15,411,301,2.947,1.474,-13146558
47,2,16,385,298,3.376,1.688,-7889007
48,2,17,374,296,1.442,0.721,-10980538
49,2,18,366,304,1.459,0.730,-11576758
50,2,19,354,296,1.860,0.930,-12884157
51,2,20,350,312,2.128,1.064,-12300222
52,2,21,338,286,3.694,1.847,-12818102
53,2,22,324,260,3.809,1.905,-11900331
54,2,23,306,273,2.864,1.432,-11967932
55,2,24,287,267,2.570,1.285,-8795772
56,2,25,297,264,1.347,0.673,-11380147
57,2,26,300,274,1.347,0.673,-11837361
58,2,27,287,295,3.186,1.593,-12365764
59,2,28,289,301,0.816,0.408,-12629695
60,2,29,284,306,0.912,0.456,-11575234
61,2,30,271,273,4.575,2.288,-10783647
62,2,31,273,277,0.577,0.288,-12298688
