1,1,2,2,1,1,3,2,2,1,3,2,2,2,3,1,2,1,2,3,2,2,2,1,1,1,2,3,1,2,1,1,2
2,1,1,2,1,2,1,2,2,2,2,2,1,2,2,1,2,2,2,1,2,2,1,2,1,1,2,2,2,2,1,1,2
3,1,1,2,1,2,1,2,2,1,2,2,2,2,2,1,1,1,2,2,2,2,2,1,3,1,2,2,2,2,1,1,2
4,1,1,2,1,1,1,2,2,1,1,3,2,2,1,1,1,2,1,2,2,2,1,1,1,1,2,2,2,1,1,1,2
5,1,1,2,1,1,1,2,1,1,1,2,1,1,2,1,2,2,2,1,2,2,1,1,1,1,2,3,1,1,1,1,2
6,1,1,2,1,1,3,2,2,1,1,2,2,3,1,3,2,2,1,2,2,2,1,1,1,1,2,1,3,1,1,1,1
7,2,1,2,1,2,1,2,2,1,2,2,1,1,2,1,2,1,2,1,1,2,1,1,1,1,2,1,2,1,1,1,2
8,2,1,1,2,2,1,2,2,1,2,2,1,1,2,1,2,1,2,2,2,2,2,2,1,1,2,2,3,1,1,1,2
9,1,1,2,1,1,1,2,2,1,1,2,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2
10,1,1,2,1,2,1,2,1,1,1,2,1,1,2,1,2,1,2,1,2,2,1,2,1,2,2,1,2,2,1,1,2
11,1,1,1,1,1,1,2,2,1,1,2,2,3,1,1,1,1,2,1,2,2,1,1,1,1,2,2,1,1,1,1,1
12,1,1,2,1,1,3,2,2,1,2,3,2,1,1,1,2,1,2,1,2,2,2,1,1,2,2,1,2,2,1,1,2
13,1,1,2,1,2,1,1,2,1,1,1,1,2,2,1,1,2,2,1,1,2,1,1,1,2,2,2,2,1,1,1,2
14,1,1,2,1,2,2,1,2,1,1,3,2,2,1,1,1,2,2,2,1,2,2,1,1,1,1,2,2,2,1,1,2
15,1,1,2,1,2,2,2,1,2,1,2,2,1,1,1,2,2,2,1,3,2,1,2,1,1,2,2,2,2,1,2,2
16,1,1,3,1,2,1,2,1,1,2,2,1,1,2,1,2,2,2,3,2,2,1,3,1,2,1,1,2,2,2,1,2
17,1,2,2,1,3,1,2,1,1,1,3,2,2,1,2,2,2,2,1,3,2,1,1,1,1,3,1,2,2,1,1,2
18,1,2,2,1,2,2,2,2,1,1,2,2,1,2,1,2,2,2,1,2,2,1,2,1,1,2,2,2,1,1,1,2
19,1,2,2,1,1,1,2,2,1,2,2,1,1,2,1,2,1,2,1,1,2,1,2,1,1,2,1,2,1,1,1,2
20,1,1,3,1,1,1,2,2,2,1,3,2,2,1,1,1,1,2,3,2,2,3,2,3,1,2,3,1,2,1,1,3
21,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,3,1,3,2,1,1,1,2,2,2,2,3,2,1,1
22,1,1,2,1,1,1,2,2,1,2,2,1,2,2,1,2,2,2,2,1,2,1,1,3,1,1,1,1,3,1,1,2
23,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,2,2,1,1,1,1,1,1,2,1,2,1,1,1,2
24,1,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2
26,1,1,2,1,3,1,2,1,3,2,2,2,1,1,3,2,2,2,3,2,2,3,1,1,1,1,2,3,2,1,3,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 = ""Same""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2 = ""Different""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3 = ""I don't know""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
