 ,Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1,1,614,81,-1.000,-1.000,-16776703
2,1,2,614,79,0.258,0.129,-16775680
3,1,3,614,77,0.258,0.129,-16182507
4,1,4,619,96,2.534,1.267,-16777214
5,1,5,603,96,2.064,1.032,-16775936
6,1,6,608,84,1.677,0.839,-13021130
7,1,7,608,84,0.000,0.000,-10784162
8,1,8,602,84,0.774,0.387,-13682900
9,1,9,594,84,1.032,0.516,-13879250
10,1,10,597,97,1.721,0.861,-13617361
11,1,11,604,97,0.903,0.452,-13616858
12,1,12,591,93,1.755,0.877,-13946059
13,1,13,591,93,0.000,0.000,-13618643
14,1,14,591,92,0.129,0.065,-13483467
15,1,15,585,90,0.816,0.408,-13881546
16,1,16,583,94,0.577,0.288,-11703981
17,1,17,578,97,0.752,0.376,-14142675
18,1,18,578,98,0.129,0.065,-14076621
19,1,19,574,98,0.516,0.258,-13093848
20,1,20,567,106,1.371,0.686,-13290448
21,1,21,567,105,0.129,0.065,-13354189
22,1,22,567,103,0.258,0.129,-13480382
23,1,23,565,104,0.288,0.144,-14009296
24,1,24,553,106,1.569,0.785,-11776445
25,1,25,553,108,0.258,0.129,-13355471
26,1,26,563,108,1.290,0.645,-3549489
27,1,27,550,118,2.116,1.058,-13748169
28,1,28,550,117,0.129,0.065,-13288406
29,1,29,550,109,1.032,0.516,-14142935
30,1,30,533,109,2.193,1.097,-12893384
31,1,31,540,116,1.277,0.639,-13682902
32,1,32,548,116,1.032,0.516,-13485508
33,2,1,539,131,-1.000,-1.000,-16776704
34,2,2,536,125,0.865,0.433,-16515067
35,2,3,533,121,0.645,0.323,-16775154
36,2,4,547,131,2.219,1.110,-16775668
37,2,5,531,131,2.064,1.032,-14077144
38,2,6,531,125,0.774,0.387,-13551821
39,2,7,531,127,0.258,0.129,-12434868
40,2,8,538,130,0.982,0.491,-11840936
41,2,9,538,130,0.000,0.000,-12432306
42,2,10,530,136,1.290,0.645,-12366252
43,2,11,528,139,0.465,0.233,-11643808
44,2,12,532,146,1.040,0.520,-11908526
45,2,13,526,146,0.774,0.387,-11119020
46,2,14,526,146,0.000,0.000,-11710141
47,2,15,527,145,0.182,0.091,-11380650
48,2,16,522,149,0.826,0.413,-12169135
49,2,17,522,149,0.000,0.000,-11183019
50,2,18,521,154,0.658,0.329,-12629939
51,2,19,521,159,0.645,0.323,-11973039
52,2,20,520,160,0.182,0.091,-12563892
53,2,21,520,163,0.387,0.194,-12497589
54,2,22,518,170,0.939,0.470,-12105651
55,2,23,518,170,0.000,0.000,-11579818
56,2,24,519,171,0.182,0.091,-12563641
57,2,25,520,176,0.658,0.329,-12434102
58,2,26,520,176,0.000,0.000,-12104622
59,2,27,520,183,0.903,0.452,-12497842
60,2,28,520,183,0.000,0.000,-11183523
61,2,29,523,184,0.408,0.204,-12959692
62,2,30,518,189,0.912,0.456,-12303033
63,2,31,518,189,0.000,0.000,-12170930
64,2,32,522,195,0.930,0.465,-12761784
