 ,Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1,1,252,320,-1.000,-1.000,-16776957
2,1,2,252,319,0.129,0.065,-16776187
3,1,3,253,320,0.182,0.091,-16707312
4,1,4,251,321,0.288,0.144,-15392994
5,1,5,247,305,2.128,1.064,-14795744
6,1,6,247,308,0.387,0.194,-12299711
7,1,7,249,308,0.258,0.129,-10391980
8,1,8,246,309,0.408,0.204,-10721701
9,1,9,247,307,0.288,0.144,-11244198
10,1,10,246,305,0.288,0.144,-7692151
11,1,11,247,308,0.408,0.204,-10523300
12,1,12,244,307,0.408,0.204,-9337479
13,1,13,246,303,0.577,0.288,-3943747
14,1,14,247,302,0.182,0.091,-4338228
15,1,15,248,305,0.408,0.204,-8745606
16,1,16,244,309,0.730,0.365,-7824491
17,1,17,251,304,1.110,0.555,-11510442
18,1,18,247,306,0.577,0.288,-11640498
19,1,19,246,304,0.288,0.144,-6903405
20,1,20,247,303,0.182,0.091,-589826
21,1,21,247,305,0.258,0.129,-6772595
22,1,22,246,303,0.288,0.144,-5458259
23,1,23,246,304,0.129,0.065,-7165555
24,1,24,244,303,0.288,0.144,-7033967
25,1,25,249,304,0.658,0.329,-10587043
26,1,26,246,304,0.387,0.194,-9271686
27,1,27,249,305,0.408,0.204,-11179429
28,1,28,245,303,0.577,0.288,-5258085
29,1,29,249,302,0.532,0.266,-5458009
30,1,30,244,308,1.008,0.504,-6442836
31,1,31,245,298,1.296,0.648,-8872313
32,1,32,248,303,0.752,0.376,-3811645
33,2,1,299,241,-1.000,-1.000,-16051183
34,2,2,304,247,1.008,0.504,-14668506
35,2,3,301,244,0.547,0.274,-16774656
36,2,4,276,225,4.051,2.025,-12559811
37,2,5,266,227,1.316,0.658,-15393020
38,2,6,294,239,3.930,1.965,-14072027
39,2,7,300,242,0.865,0.433,-10586288
40,2,8,267,228,4.624,2.312,-12563653
41,2,9,271,226,0.577,0.288,-12497337
42,2,10,300,237,4.001,2.001,-6110565
43,2,11,295,237,0.645,0.323,-12626372
44,2,12,271,228,3.307,1.653,-12694978
45,2,13,269,226,0.365,0.182,-12824523
46,2,14,295,235,3.549,1.775,-10451622
47,2,15,298,233,0.465,0.233,-7228015
48,2,16,281,223,2.544,1.272,-11312060
49,2,17,258,228,3.036,1.518,-11971003
50,2,18,280,225,2.864,1.432,-12495810
51,2,19,295,228,1.973,0.987,-12297676
52,2,20,267,223,3.669,1.835,-12431554
53,2,21,260,225,0.939,0.470,-11838909
54,2,22,292,228,4.146,2.073,-12691144
55,2,23,295,225,0.547,0.274,-10980276
56,2,24,261,223,4.394,2.197,-7561582
57,2,25,257,226,0.645,0.323,-10786217
58,2,26,284,222,3.521,1.761,-8937356
59,2,27,299,230,2.193,1.097,-10122907
60,2,28,268,224,4.073,2.037,-12823230
61,2,29,256,224,1.548,0.774,-11576759
62,2,30,295,234,5.194,2.597,-10716334
63,2,31,301,238,0.930,0.465,-10716350
64,2,32,269,227,4.365,2.183,-12431808
