32 0
34 1000
34 2000
35 3001
36 4001
35 5002
35 6002
35 7003
35 8003
34 9004
32 10004
34 11004
35 12005
36 13005
36 14007
36 15007
36 16008
36 17008
35 18009
36 19009
34 20009
34 21010
34 22010
33 23011
34 24011
35 25013
34 26013
34 27014
34 28014
35 29015
33 30015
33 31015
34 32016
33 33016
30 34017
34 35017
34 36018
34 37019
33 38020
33 39020
33 40020
33 41021
31 42021
30 43022
31 44022
31 45023
31 46023
31 47024
32 48025
31 49026
31 50026
33 51026
33 52027
33 53027
34 54028
34 55028
34 56029
34 57029
35 58030
36 59031
36 60032
