59 0
60 1000
60 2000
60 3001
60 4001
59 5002
60 6002
59 7003
59 8003
59 9004
60 10004
60 11004
60 12005
60 13005
58 14007
59 15007
58 16008
54 17008
59 18009
51 19009
49 20009
57 21010
59 22010
57 23011
56 24011
57 25013
59 26013
59 27014
59 28014
60 29015
60 30015
60 31015
60 32016
60 33016
60 34017
61 35017
61 36018
61 37019
61 38020
60 39020
60 40020
60 41021
60 42021
61 43022
60 44022
59 45023
60 46023
60 47024
60 48025
60 49026
60 50026
61 51026
60 52027
60 53027
61 54028
61 55028
61 56029
61 57029
60 58030
61 59031
61 60032
