1,1600,985.491005102
2,1000,1040.77040931
3,1400,1034.3587413
4,1100,860.321483359
5,1700,1004.24175775
6,1600,1031.28144259
7,1300,925.166808996
8,1600,1002.54170075
9,1200,992.702270774
10,1500,1005.86155458
11,600,754.623090148
12,1500,993.991221199
13,900,923.76401795
14,1900,896.14379707
15,1100,1001.21648922
16,1000,983.824276844
17,1400,828.373310309
18,900,991.201611216
19,1400,979.031643157
20,600,769.657031245
21,1300,1042.1274482
22,1300,945.604705743
23,1500,998.72870874
24,1500,955.16255023
25,1300,1047.0663537
1,1000,967.996802469
2,1600,983.890553972
3,1800,1026.49701008
4,1700,899.305136303
5,1300,1008.47524941
6,600,983.510218854
7,1100,960.95890411
8,1000,1020.73865744
9,1200,999.562335521
10,1000,990.430888031
11,500,855.636526939
12,900,1012.01240461
13,1000,877.761099993
14,1600,950.850557576
15,900,948.725198089
16,1200,981.491253296
17,900,874.239070282
18,1000,985.477575386
19,1100,983.373269993
20,1100,921.770277965
21,1900,1014.27814636
22,1200,923.726696207
23,1500,998.720315881
24,1400,1003.62718008
25,1600,1046.45405218
1,800,1022.36429039
2,900,966.925175825
3,900,1038.29664902
4,1200,527.707754579
5,900,1043.95226377
6,1100,1141.26185233
7,300,616.667722628
8,900,1139.5586596
9,700,1077.75277984
10,700,1003.65928743
11,900,735.996693606
12,1400,954.129519547
13,1100,920.927278501
14,200,865.664975915
15,1000,1063.53459253
16,300,846.130693909
17,700,862.431251224
18,600,1014.94924778
19,1400,972.120425595
20,400,896.088659887
21,700,1064.96231216
22,1200,792.205162326
23,1200,893.508495635
24,500,897.35562367
25,1000,1043.64152494
1,800,1022.36429039
2,700,975.053672773
3,1200,1102.19907208
4,1300,711.003356956
5,600,988.334170097
6,1300,1083.38590354
7,800,971.290785449
8,500,1146.67086308
9,600,1078.16748118
10,1100,1031.47911421
11,600,760.685860388
12,300,972.008508327
13,600,776.719332641
14,1000,946.875172111
15,800,1052.24712282
16,600,991.191924726
17,800,912.854742592
18,400,957.318326899
19,800,987.195020053
20,600,792.169650282
21,800,1063.65761718
22,500,921.577887546
23,600,1162.06945996
24,600,768.504671535
25,700,1134.76469313
