 ,Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1.000,1.000,381.000,232.000,-1.000,-1.000,-16776704.000
2,1.000,2.000,381.000,233.000,0.129,0.064,-16775680.000
3,1.000,3.000,381.000,233.000,0.000,0.000,-16510208.000
4,1.000,4.000,381.000,233.000,0.000,0.000,-15650047.000
5,1.000,5.000,381.000,233.000,0.000,0.000,-12560885.000
6,1.000,6.000,376.000,233.000,0.645,0.322,-8615850.000
7,1.000,7.000,375.000,233.000,0.129,0.064,-11246277.000
8,1.000,8.000,375.000,233.000,0.000,0.000,-9863361.000
9,1.000,9.000,375.000,233.000,0.000,0.000,-10587571.000
10,1.000,10.000,375.000,233.000,0.000,0.000,-10587058.000
11,1.000,11.000,375.000,233.000,0.000,0.000,-11441077.000
12,1.000,12.000,375.000,233.000,0.000,0.000,-11308711.000
13,1.000,13.000,375.000,233.000,0.000,0.000,-12361912.000
14,1.000,14.000,375.000,233.000,0.000,0.000,-12031919.000
15,1.000,15.000,375.000,233.000,0.000,0.000,-12228524.000
16,1.000,16.000,375.000,233.000,0.000,0.000,-12227243.000
17,1.000,17.000,375.000,233.000,0.000,0.000,-12490667.000
18,1.000,18.000,375.000,233.000,0.000,0.000,-11963303.000
19,1.000,19.000,374.000,233.000,0.129,0.064,-13280185.000
20,1.000,20.000,373.000,233.000,0.129,0.064,-14860749.000
21,1.000,21.000,373.000,233.000,0.000,0.000,-14334151.000
22,1.000,22.000,373.000,233.000,0.000,0.000,-14924238.000
23,1.000,23.000,373.000,233.000,0.000,0.000,-14072268.000
24,1.000,24.000,373.000,233.000,0.000,0.000,-14530762.000
25,1.000,25.000,373.000,233.000,0.000,0.000,-14794188.000
26,1.000,26.000,373.000,233.000,0.000,0.000,-14465748.000
27,1.000,27.000,373.000,233.000,0.000,0.000,-14596823.000
28,1.000,28.000,373.000,233.000,0.000,0.000,-14662348.000
29,1.000,29.000,373.000,233.000,0.000,0.000,-14271181.000
30,1.000,30.000,373.000,233.000,0.000,0.000,-14729420.000
31,1.000,31.000,373.000,233.000,0.000,0.000,-14859223.000
32,2.000,1.000,341.000,146.000,-1.000,-1.000,-16776704.000
33,2.000,2.000,341.000,146.000,0.000,0.000,-16776704.000
34,2.000,3.000,333.000,146.000,1.032,0.516,-16776704.000
35,2.000,4.000,320.000,144.000,1.697,0.848,-16576256.000
36,2.000,5.000,334.000,147.000,1.847,0.923,-15720443.000
37,2.000,6.000,352.000,161.000,2.942,1.471,-15127536.000
38,2.000,7.000,348.000,143.000,2.379,1.189,-12821461.000
39,2.000,8.000,346.000,143.000,0.258,0.129,-13741776.000
40,2.000,9.000,340.000,143.000,0.774,0.387,-14931688.000
41,2.000,10.000,336.000,139.000,0.730,0.365,-14469346.000
42,2.000,11.000,345.000,139.000,1.161,0.580,-13150147.000
43,2.000,12.000,345.000,139.000,0.000,0.000,-15382221.000
44,2.000,13.000,345.000,139.000,0.000,0.000,-16109785.000
45,2.000,14.000,322.000,146.000,3.101,1.551,-15453654.000
46,2.000,15.000,331.000,155.000,1.642,0.821,-16569057.000
47,2.000,16.000,313.000,155.000,2.322,1.161,-15975629.000
48,2.000,17.000,333.000,149.000,2.694,1.347,-16044245.000
49,2.000,18.000,324.000,144.000,1.328,0.664,-12949950.000
50,2.000,19.000,334.000,144.000,1.290,0.645,-16046543.000
51,2.000,20.000,339.000,143.000,0.658,0.329,-15849692.000
52,2.000,21.000,345.000,161.000,2.448,1.224,-16506334.000
53,2.000,22.000,336.000,152.000,1.642,0.821,-13802436.000
54,2.000,23.000,341.000,152.000,0.645,0.322,-15187179.000
55,2.000,24.000,341.000,149.000,0.387,0.194,-15717080.000
56,2.000,25.000,341.000,143.000,0.774,0.387,-14266302.000
57,2.000,26.000,349.000,145.000,1.064,0.532,-14861006.000
58,2.000,27.000,349.000,146.000,0.129,0.064,-16441054.000
59,2.000,28.000,349.000,146.000,0.000,0.000,-16768730.000
60,2.000,29.000,349.000,143.000,0.387,0.194,-15850209.000
61,2.000,30.000,347.000,141.000,0.365,0.182,-16763343.000
62,2.000,31.000,350.000,148.000,0.982,0.491,-16508905.000
