 ,Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1,1,313,108,-1.000,-1.000,-16776960
2,1,2,305,110,1.064,0.532,-16777214
3,1,3,312,115,1.110,0.555,-16776192
4,1,4,307,117,0.695,0.347,-14074095
5,1,5,294,105,2.282,1.141,-16442620
6,1,6,290,105,0.516,0.258,-14469083
7,1,7,288,105,0.258,0.129,-13283267
8,1,8,283,105,0.645,0.323,-13088198
9,1,9,278,103,0.695,0.347,-11509942
10,1,10,276,100,0.465,0.233,-12627145
11,1,11,276,100,0.000,0.000,-12824773
12,1,12,284,97,1.102,0.551,-12102089
13,1,13,277,97,0.903,0.452,-13352648
14,1,14,261,90,2.253,1.126,-13086662
15,1,15,270,90,1.161,0.581,-13285326
16,1,16,270,90,0.000,0.000,-13548757
17,1,17,270,90,0.000,0.000,-13417171
18,1,18,270,90,0.000,0.000,-13482188
19,1,19,270,90,0.000,0.000,-13220813
20,1,20,270,104,1.806,0.903,-12166075
21,1,21,257,98,1.847,0.923,-12825286
22,1,22,267,97,1.296,0.648,-13284302
23,1,23,270,90,0.982,0.491,-13548496
24,1,24,270,76,1.806,0.903,-13153223
25,1,25,270,88,1.548,0.774,-13220821
26,1,26,263,99,1.682,0.841,-13088194
27,1,27,255,99,1.032,0.516,-13347516
28,1,28,255,94,0.645,0.323,-13676493
29,1,29,265,83,1.918,0.959,-12890825
30,1,30,262,83,0.387,0.194,-12824772
31,1,31,251,80,1.471,0.735,-13020360
32,1,32,251,89,1.161,0.581,-13545424
33,2,1,212,66,-1.000,-1.000,-16776704
34,2,2,211,64,0.288,0.144,-16447992
35,2,3,211,64,0.000,0.000,-15589868
36,2,4,208,59,0.752,0.376,-16509943
37,2,5,208,59,0.000,0.000,-15653632
38,2,6,201,59,0.903,0.452,-13417414
39,2,7,201,59,0.000,0.000,-11378605
40,2,8,201,57,0.258,0.129,-11180461
41,2,9,201,50,0.903,0.452,-12694465
42,2,10,203,46,0.577,0.288,-12694214
43,2,11,206,45,0.408,0.204,-12628944
44,2,12,209,41,0.645,0.323,-10324649
45,2,13,209,40,0.129,0.065,-11180725
46,2,14,212,37,0.547,0.274,-8548503
47,2,15,212,37,0.000,0.000,-6115966
48,2,16,212,37,0.000,0.000,-5788020
49,2,17,212,48,1.419,0.710,-11574457
50,2,18,212,45,0.387,0.194,-11973567
51,2,19,211,43,0.288,0.144,-11906502
52,2,20,211,43,0.000,0.000,-12233934
53,2,21,211,41,0.258,0.129,-9996713
54,2,22,211,38,0.387,0.194,-9534881
55,2,23,211,38,0.000,0.000,-9139862
56,2,24,211,38,0.000,0.000,-10720687
57,2,25,213,32,0.816,0.408,-9670828
58,2,26,213,38,0.774,0.387,-13744592
59,2,27,213,41,0.387,0.194,-13286606
60,2,28,213,41,0.000,0.000,-13219014
61,2,29,215,41,0.258,0.129,-13022160
62,2,30,222,41,0.903,0.452,-12694487
63,2,31,222,32,1.161,0.581,-7959963
64,2,32,206,31,2.068,1.034,-12366274
