 ,Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1,1,424,394,-1.000,-1.000,-16776960
2,1,2,436,381,2.282,1.141,-16710910
3,1,3,465,367,4.154,2.077,-16711424
4,1,4,496,345,4.904,2.452,-16449532
5,1,5,509,338,1.905,0.952,-15266022
6,1,6,502,333,1.110,0.555,-11902916
7,1,7,520,329,2.379,1.189,-10788262
8,1,8,538,314,3.023,1.511,-13092044
9,1,9,553,298,2.829,1.415,-12630216
10,1,10,582,295,3.761,1.880,-13879250
11,1,11,591,294,1.168,0.584,-14078163
12,1,12,602,276,2.721,1.361,-14274520
13,1,13,610,254,3.020,1.510,-9276314
14,1,14,616,236,2.448,1.224,-14340052
15,1,15,616,235,0.129,0.065,-14078163
16,1,16,611,207,3.669,1.835,-14341597
17,1,17,610,193,1.811,0.905,-14277084
18,1,18,600,165,3.835,1.918,-13945045
19,1,19,595,155,1.442,0.721,-12631507
20,1,20,581,137,2.942,1.471,-4538705
21,1,21,565,104,4.731,2.365,-13749459
22,1,22,548,94,2.544,1.272,-11907521
23,1,23,531,73,3.485,1.743,-13617360
24,1,24,518,72,1.682,0.841,-12895439
25,1,25,512,46,3.442,1.721,-13222349
26,1,26,512,46,0.000,0.000,-14013399
27,1,27,512,41,0.645,0.323,-5128283
28,1,28,477,32,4.662,2.331,-14537695
29,1,29,465,23,1.935,0.968,-14341596
30,1,30,421,30,5.747,2.874,-13749208
31,1,31,398,30,2.967,1.484,-4537173
32,1,32,410,3,3.812,1.906,-13881311
33,2,1,573,304,-1.000,-1.000,-16777214
34,2,2,566,303,0.912,0.456,-16183800
35,2,3,559,273,3.974,1.987,-16776960
36,2,4,584,261,3.577,1.789,-16775935
37,2,5,594,228,4.448,2.224,-16644349
38,2,6,622,247,4.365,2.183,-15721715
39,2,7,633,240,1.682,0.841,-14143956
40,2,8,623,214,3.594,1.797,-13879250
41,2,9,616,186,3.723,1.862,-13422549
42,2,10,611,173,1.797,0.898,-9142944
43,2,11,589,170,2.864,1.432,-14274513
44,2,12,587,147,2.978,1.489,-14932451
45,2,13,587,115,4.128,2.064,-14144985
46,2,14,584,97,2.354,1.177,-12565186
47,2,15,560,84,3.521,1.761,-12564419
48,2,16,538,71,3.296,1.648,-9141116
49,2,17,537,95,3.099,1.549,-13353151
50,2,18,501,71,5.581,2.791,-14010060
51,2,19,490,46,3.523,1.762,-14076120
52,2,20,504,18,4.038,2.019,-14077920
53,2,21,488,8,2.434,1.217,-12499141
54,2,22,453,8,4.515,2.258,-12959181
55,2,23,411,9,5.420,2.710,-13288655
56,2,24,405,37,3.694,1.847,-11840960
57,2,25,380,42,3.289,1.644,-9998756
58,2,26,389,10,4.288,2.144,-12962511
59,2,27,381,2,1.459,0.730,-12434637
