 ,Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1,1,288,236,-1.000,-1.000,-16711421
2,1,2,285,238,0.465,0.233,-16776957
3,1,3,282,236,0.465,0.233,-16775925
4,1,4,282,236,0.000,0.000,-16708862
5,1,5,282,236,0.000,0.000,-15854550
6,1,6,272,257,3.000,1.500,-14339801
7,1,7,265,252,1.110,0.555,-14008528
8,1,8,256,278,3.549,1.775,-12168395
9,1,9,245,277,1.425,0.712,-13415367
10,1,10,250,303,3.415,1.708,-10455732
11,1,11,250,301,0.258,0.129,-11903679
12,1,12,249,301,0.129,0.065,-9011109
13,1,13,249,308,0.903,0.452,-10919345
14,1,14,248,308,0.129,0.065,-12300481
15,1,15,248,308,0.000,0.000,-12165063
16,1,16,248,308,0.000,0.000,-11774412
17,1,17,247,308,0.129,0.065,-11313335
18,1,18,246,308,0.129,0.065,-13480897
19,1,19,246,308,0.000,0.000,-12825026
20,1,20,246,308,0.000,0.000,-12365237
21,1,21,245,308,0.129,0.065,-11314362
22,1,22,243,307,0.288,0.144,-10458806
23,1,23,243,307,0.000,0.000,-8748956
24,1,24,285,323,5.798,2.899,-11184347
25,1,25,271,326,1.847,0.923,-12300208
26,1,26,271,326,0.000,0.000,-8613279
27,1,27,271,326,0.000,0.000,-917505
28,1,28,271,301,3.225,1.613,-12890817
29,1,29,275,299,0.577,0.288,-12034237
30,1,30,277,292,0.939,0.470,-11313333
31,1,31,277,292,0.000,0.000,-10984119
32,1,32,277,292,0.000,0.000,-12825534
33,2,1,274,363,-1.000,-1.000,-16776703
34,2,2,274,335,3.612,1.806,-16776954
35,2,3,270,332,0.645,0.323,-16709632
36,2,4,292,315,3.587,1.793,-16315135
37,2,5,305,303,2.282,1.141,-15720956
38,2,6,307,286,2.208,1.104,-14273507
39,2,7,310,286,0.387,0.194,-12167128
40,2,8,310,286,0.000,0.000,-12168131
41,2,9,320,277,1.736,0.868,-13419741
42,2,10,320,251,3.354,1.677,-14276071
43,2,11,325,254,0.752,0.376,-14339300
44,2,12,325,254,0.000,0.000,-13812966
45,2,13,311,249,1.918,0.959,-14012368
46,2,14,311,249,0.000,0.000,-13945571
47,2,15,311,249,0.000,0.000,-14339803
48,2,16,311,251,0.258,0.129,-14339801
49,2,17,311,251,0.000,0.000,-14011100
50,2,18,311,251,0.000,0.000,-13418198
51,2,19,317,263,1.731,0.865,-14076893
52,2,20,318,255,1.040,0.520,-14665949
53,2,21,311,251,1.040,0.520,-14208225
54,2,22,317,242,1.395,0.698,-14143958
55,2,23,321,241,0.532,0.266,-13813461
56,2,24,321,241,0.000,0.000,-13749210
57,2,25,322,240,0.182,0.091,-14011867
58,2,26,331,222,2.596,1.298,-14735072
59,2,27,331,224,0.258,0.129,-14472153
60,2,28,335,214,1.389,0.695,-14405604
61,2,29,335,214,0.000,0.000,-14078175
62,2,30,335,213,0.129,0.065,-14404585
63,2,31,348,211,1.697,0.848,-11970764
64,2,32,348,220,1.161,0.581,-13878751
