1   1

0   10

100 011

200 010

300 110

400 110

500 210

600 210

700 311

800 310

900 411

1000410

1100411

1200511

1300511

1400611

1500610

1600811

1700812

1800911

1900911

2000911

2101010

2201011

2301111

2401111

2501211

2601212

2701311

2801413

2901512

3001512

3101511

3201611

3301612

3401713

3501711

3601812

3701812

3801911

3901912

4002012

4102113

4202112

4302211

4402212

4502312

4602312

4702412

4802412

4902511

5002511

5102513

5202613

5302712

5402813

5502811

5602912

5702912

5803011

5903013

6003012
